delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_status,delivery_cost
250.99,delhivery,automobile parts,bike,same day,west,clear,297,46.96,Delivered,1632.7206
250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,Delivered,640.17
250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,Delivered,1448.17
250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,Delivered,1486.57
250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,Delivered,1394.56
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,Delayed,391.45
250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,Delivered,1222.87
250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,Delivered,800.89
250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,Delivered,854.18
250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,Delivered,423.34
250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,Delivered,1632.15
250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,Delivered,541.44
250.99,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,Delivered,1350.18
250.99,xpressbees,cosmetics,bike,express,east,stormy,19,3.36,Delayed,155.08
250.99,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,Delivered,1263.27
250.99,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,Delayed,1281.51
250.99,fedex,documents,bike,standard,west,stormy,79,0.73,Delivered,397.19
250.99,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,Delivered,990.36
250.99,amazon logistics,documents,van,same day,north,rainy,90,33.7,Delivered,651.1
250.99,fedex,cosmetics,truck,express,north,rainy,64,6.03,Delayed,388.09
250.99,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,Delivered,986.8
250.99,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,Delivered,1131.74
250.99,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,Delivered,1293.05
250.99,ecom express,clothing,bike,standard,central,clear,251.7,34.9,Delivered,1363.2
250.99,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,Delivered,1091.51
250.99,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,Delivered,578.59
250.99,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,Delayed,1632.7206
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,Delivered,1574.01
250.99,fedex,furniture,truck,express,south,hot,136.1,48.1,Delivered,874.8
250.99,dhl,furniture,bike,two day,east,rainy,291.4,6.12,Delivered,1475.36
250.99,fedex,furniture,bike,standard,south,hot,295,19.68,Delivered,1534.04
250.99,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,Delayed,1235.37
250.99,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,Delayed,1402.69
250.99,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,Delivered,243.66
250.99,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,Delayed,595.53
250.99,delhivery,documents,bike,same day,east,clear,37.6,22.81,Delivered,356.43
250.99,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,Delayed,298.16
250.99,amazon logistics,electronics,scooter,same day,central,hot,233.4,18,Delivered,1321
250.99,ekart,documents,bike,standard,east,rainy,62.2,48.58,Delivered,456.74
250.99,shadowfax,clothing,ev bike,standard,south,foggy,114,43.85,Delivered,701.55
250.99,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,Delivered,834.87
250.99,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,Delayed,206.74
250.99,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,Delivered,1317.61
250.99,dhl,furniture,van,two day,east,rainy,253.9,7.07,Delivered,1290.71
250.99,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,Delivered,157.38
250.99,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,Delivered,970.6
250.99,fedex,cosmetics,truck,standard,south,hot,180,35.04,Delivered,1005.12
250.99,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,Delivered,984.38
250.99,xpressbees,documents,ev van,express,west,hot,78.3,49.22,Delayed,589.16
250.99,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,Delivered,378.35
250.99,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,Delivered,324.08
250.99,blue dart,clothing,truck,express,north,hot,216.7,26.89,Delayed,1214.17
250.99,dhl,electronics,van,standard,south,foggy,148.2,38.6,Delivered,856.8
250.99,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,Delivered,1161.37
250.99,fedex,groceries,truck,same day,east,stormy,167.7,42.4,Delivered,1065.7
250.99,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,Delivered,1066.02
250.99,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,Delivered,1200.32
250.99,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,Delivered,484.65
250.99,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,Delivered,1045.11
250.99,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,Delivered,437.93
250.99,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,Delivered,289.36
250.99,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,Delivered,1370.53
250.99,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,Delayed,1315.6
250.99,ecom express,pharmacy,bike,express,east,hot,226,37.62,Delayed,1292.86
250.99,dhl,clothing,bike,two day,west,hot,113.3,34.03,Delivered,668.59
250.99,ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,Delivered,1287.23
250.99,ecom express,electronics,scooter,express,east,cold,87.7,22.38,Delayed,555.64
250.99,dhl,furniture,van,same day,east,rainy,90.1,27.46,Delivered,632.88
250.99,delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,Delayed,736.82
250.99,fedex,documents,bike,same day,central,cold,217.3,3.03,Delivered,1195.59
250.99,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,Delivered,460.75
250.99,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,Delivered,173.54
250.99,fedex,documents,ev van,express,north,rainy,78.5,27.87,Delayed,526.11
250.99,blue dart,documents,van,express,north,hot,138.3,47.87,Delayed,885.11
250.99,xpressbees,clothing,truck,two day,north,cold,96.4,39.33,Delivered,599.99
250.99,fedex,furniture,ev van,standard,west,cold,216.2,23.93,Delivered,1152.79
250.99,ekart,clothing,van,express,south,stormy,24.1,34.1,Delayed,272.8
250.99,ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,Delivered,1070.19
250.99,shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,Delivered,604.06
250.99,xpressbees,pharmacy,bike,express,south,hot,56,22.91,Delayed,398.73
250.99,ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,Delayed,470.66
250.99,dhl,documents,bike,same day,east,rainy,60.4,22.93,Delivered,470.79
250.99,blue dart,clothing,truck,same day,central,stormy,258.4,22.08,Delayed,1458.24
250.99,amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,Delivered,551.44
250.99,shadowfax,electronics,van,two day,south,clear,244,13.62,Delivered,1260.86
250.99,xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,Delivered,498.31
250.99,delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,Delivered,172.6
